分类,字段,字段填写内容,,,,,,,,,,,,,,,,,,,,,,,,
基础信息,产品中文名,面包发酵篮,,,,,,,,,,,,,,,,,,,,,,,,
,产品英文名,Bread Proofing Basket,,,,,,,,,,,,,,,,,,,,,,,,
,品牌名,GleeNflux,,,,,,,,,,,,,,,,,,,,,,,,
,型号,GF-PB-RR / GF-PB-RO,,,,,,,,,,,,,,,,,,,,,,,,
目标市场,Amazon站点,美国站,,,,,,,,,,,,,,,,,,,,,,,,
,目标人群,中产家庭妇女，DIY烘焙（欧包）爱好者，DIY烘焙小白，小型精品烘焙坊,,,,,,,,,,,,,,,,,,,,,,,,
,使用场景,"家庭烘焙：
- 烘焙爱好者在家制作手工欧包，追求健康饮食或手作乐趣。
- 节假日，烤面包做聚会活动。",,,,,,,,,,,,,,,,,,,,,,,,
,,"工作坊：
- 烘焙课程中，老师或学员使用发酵篮展示面包制作过程。
- 小型面包店或咖啡店为顾客提供现烤面包，展示传统工艺。",,,,,,,,,,,,,,,,,,,,,,,,
,,"闲置：
- 不烘焙时作为厨房或客厅的储物篮装水果、面包或零食，既实用又好看",,,,,,,,,,,,,,,,,,,,,,,,
,用户需求 & 痛点,"差评分析：
1. 质量问题：发霉、毛刺、断裂、异味、不耐用
2. 尺寸问题：篮子不够大
3. 清洁问题：篮子难以清洁、发酵时面团黏在篮子上
=========
需求汇总：
1. 烘焙系列配件的需求（beginner friendly）
2. 篮子本身使用便捷性的需求（ease of use，ease of cleaning）",,,,,,,,,,,,,,,,,,,,,,,,
产品卖点,卖点1,易清洁。赠送一次性无纺布内衬（其他都没有），保证在不影响表面纹路的情况下减少面团沾粘藤条篮子的烦恼。,无先后顺序,,,,,,,,,,,,,,,,,,,,,,,
,卖点2,藤条的天然 + 手工属性,,,,,,,,,,,,,,,,,,,,,,,,
,卖点3,配件全面,,,,,,,,,,,,,,,,,,,,,,,,
,卖点4,强调礼品属性 + 藤条的美观性,,,,,,,,,,,,,,,,,,,,,,,,
,卖点5,支持DIY,,,,,,,,,,,,,,,,,,,,,,,,
,卖点6,圆形+椭圆形组合:有两种不同形状的篮子（强调多功能）,,,,,,,,,,,,,,,,,,,,,,,,
,卖点关键词,,,,,,,,,,,,,,,,,,,,,,,,,
关键词分层,标题必含关键词,"sourdough bread
banneton bread proofing basket
sourdough starter kit
sourdough bread baking supplies
sourdough bread
bread basket
baking
","Non-Woven Liner
",,,,,,,,,,,,,,,,,,,,,,,
,五点必含关键词,"banneton liner
bread making kit
baking kits for adults
bread baking
boule","Non-Woven Liner
bread making tools
",,,,,,,,,,,,,,,,,,,,,,,
,产品描述必含关键词,"sour dough tools
sourdough accessories
bread baking
sourdough starter kit with dutch oven
==============
danish dough whisk for sourdough
sourdough whisk
sourdough bread whisk
==============
dough cutter
bread scraper for sourdough
sourdough scraper
===============
sour dough scoring tool
sourdough lame
==============
food basket liners
bread proofing cover
banneton liner","bread making tools and supplies
",,,,,,,,,,,,,,,,,,,,,,,
,可选次要关键词,"bread kits for homemade bread
sourdough bread knife
french bread baking pan
baking essentials for home bakery
============
bowl scrapers for bread dough
dough hook
scorer for sourdough
bread dough whisk
dough wisk
bread scorer
dough scraper for sourdough
dough cutter and scraper
whisk set
dutch whisk for sourdough
dutch whisk
",,,,,,,,,,,,,,,,,,,,,,,,
,否定关键词,"bread flour
silicone",,,,,,,,,,,,,,,,,,,,,,,,
产品参数,材质,天然藤条,,,,,,,,,,,,,,,,,,,,,,,,
,尺寸,,,,,,,,,,,,,,,,,,,,,,,,,
,重量,,,,,,,,,,,,,,,,,,,,,,,,,
,颜色,,,,,,,,,,,,,,,,,,,,,,,,,
,配件清单,"
- 面包发酵篮 x 2（banneton）：
天然藤条手工编织而成，形状为圆形或椭圆形，有不同大小。
------------
1. 支撑面团，让它保持形状。
2. 藤条的纹路会印在面团表面，增加美观。如果不想有纹路，可以放上布衬，让面团表面保持光滑。
3. 发酵篮的透气性很好，能让面团表面稍微干燥，形成一层薄皮，这样烤出来的面包外皮会更酥脆，同时内部松软。

- 棉内衬（Cotton Liner）：套在篮子底部的棉布罩，也可以做罩布（Cover)。如想要面包表面光滑而不是藤篮纹路，就用做内衬，否则用作罩布。 

- 一次性无纺布内衬（Non-woven Liner）：套在篮子底部的无纺布罩，防止面团粘在篮子上，方便取出。随取随用随扔，方便且清洁。

- 面团搅拌器（dough whisk）：将面粉和水搅拌均匀，成为面团。

- 面团刮片（Bowl Scraper）：一个塑料刮片，把初次发酵后的湿面团从容器里刮出来，或者用来清理工作台上的面粉

- 面包刮片（Sourdough Scraper）：一个金属制刮片，把二次发酵后的面团分割成想要的大小（然后就可以放进烤箱了）

- 面包割纹刀（Scoring Knife/Lame）：在面团表面划出切口。这样面包在烤的时候能更好地膨胀，还能做出花纹。

- 硅胶刷（Silicone Brush）：用来在面包表面刷水、油，或刷掉多余的面粉，保持面包卫生和美观。
",,,,,,,,,,,,,,,,,,,,,,,,
,使用方法简述,——,,,,,,,,,,,,,,,,,,,,,,,,
竞品参考,竞品ASIN,,,,,,,,,,,,,,,,,,,,,,,,,
,我们的差异化,"
市面上有的配件我们基本都有：面团刮刀，面粉刮刀，面团搅拌器，面包修容刀，硅胶刷

我们有市面上没有的配件
- 纯棉罩布（市面大部分产品是亚麻材质，纯棉材质更清洁、防粘）
- 一次性无纺布内衬 x 30（易清洁）
- 配件收纳袋（帮忙收纳零部件，更易于使用）
",,,,,,,,,,,,,,,,,,,,,,,,
,竞品链接,https://www.amazon.com/Komlyar-Banneton-Sourdough-Fermentation-Accessories/dp/B0DQ8B8L9W/ref=zg_bs_g_16188240011_d_sccl_9/141-0572849-8999764?psc=1,https://www.amazon.com/Sourdough-Proofing-Banneton-Supplies-Baskets/dp/B0DPJSTLH5/ref=zg_bs_g_16188240011_d_sccl_10/141-0572849-8999764?psc=1,https://www.amazon.com/Sourdough-Bread-Baking-Supplies-Banneton/dp/B0CHHP9QVR/,,,,,,,,,,,,,,,,,,,,,,
,竞品图, , , ,,,,,,,,,,,,,,,,,,,,,,
,客户评价晒图参考, , , ,,,,,,,,,,,,,,,,,,,,,,
,竞品卖点,"五点描述：
1. 藤条的天然属性
2. 藤条的手工特性
3. 藤条的美观性
4. 强调配件全面
5. 强调产品的DIY属性","五点描述：
1. 全部配件及参数
2. 藤条的天然+手工属性
3. 藤条的环保属性
4. 易清洁
5. 有两种不同形状的篮子（强调多功能）","五点描述：
1. 有两种不同形状的篮子（强调多功能）
2. 藤条的天然属性（NATURAL INDONESIAN RATTAN）
3. 可以做礼品使用（强调礼品属性）
4.可以发酵、也做储物篮使用。强调多功能。
5. 写了如何清洗篮子的提示。",,,,,,,,,,,,,,,,,,,,,,
,竞品卖点截图, ,"五点描述：
1. 全部配件及参数
2. 藤条的天然+手工属性
3. 藤条的环保属性
4. 易清洁
5. 有两种不同形状的篮子（强调多功能）", ,,,,,,,,,,,,,,,,,,,,,,
,竞品Listing分析,"卖家主图中，第一幅图是全套产品侧视图，第二个是全套产品俯视图（带参数）。此外，将所有配件的使用场景都拍了一张。
============
刮刀，面团搅拌器，
内衬，面包修容刀，硅胶刷，清洁刷（我们没有）","同上：第一幅图是全套产品侧视图，第二个是全套产品俯视图（带参数）。

不同上：将配件使用场景两两合并（6幅图变成3幅图），后续加入【椭圆面包成品展示】、【圆面包成品展示】和【亲子手作场景】", ,,,,,,,,,,,,,,,,,,,,,,
文案要求,风格,现代,,,,,,,,,,,,,,,,,,,,,,,,
,语言,英语,,,,,,,,,,,,,,,,,,,,,,,,
,备注,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
