Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,供需比,转化总占比
"Montessori Busy Board, Personalized Bear Busy Board, Name Puzzle, Learning Toys for 1 Year Old, Sensory Activity, Wooden Baby Toys, Easter Toys, Unique Birthday Gift BB04 (Pastel Girl)",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
busy board for 1 year old,1岁的忙板,59.43%,自然搜索词/视频广告词/SP广告词,28%,96,14,"110,218","44,255",760,145.0,20.6%
busy board,忙碌的董事会,17.02%,自然搜索词/视频广告词/SP广告词,5%,120,59,"97,028","43,640","4,785",20.3,24.7%
busy board for toddlers 2-4,幼儿 2-4 岁的忙碌板,6.94%,自然搜索词/视频广告词/SP广告词,42%,119,53,"42,487","20,758",910,46.7,19.8%
felt learning board busy board,,6.61%,自然搜索词/视频广告词/SP广告词,7%,89,13,"5,744","2,467",671,8.6,26.3%
busy board for babies 6-12 months,适合 6-12 个月婴儿的忙板,5.61%,自然搜索词/视频广告词/SP广告词,51%,58,99,"12,130","5,427",301,40.3,25.7%
name puzzle,名称之谜,1.05%,自然搜索词,100%,137,前3页无排名,"25,154","11,670","2,745",9.2,24.7%
baby busy board,宝宝忙板,0.65%,自然搜索词/视频广告词/SP广告词,8%,172,137,"13,408","5,615","1,154",11.6,18.4%
busy board with led light,带 LED 灯的繁忙电路板,0.42%,视频广告词,,前3页无排名,111,"65,390","28,726",383,170.7,0.0%
name puzzle for kids personalized,个性化儿童名字拼图,0.41%,自然搜索词,100%,153,前3页无排名,"7,425","3,357",551,13.5,14.9%
personalized puzzles for toddlers 1-3,适合 1-3 岁幼儿的个性化拼图,0.29%,自然搜索词,100%,156,前3页无排名,"5,408","2,530",246,22.0,11.4%
montessori busy board,蒙台梭利忙板,0.26%,视频广告词/SP广告词,,前3页无排名,21,"36,164","16,630","1,207",30.0,18.4%
personalized name puzzle,个性化姓名拼图,0.21%,自然搜索词,100%,181,前3页无排名,"6,119","2,870",594,10.3,5.6%
wooden busy board,木忙板,0.20%,自然搜索词/视频广告词/SP广告词,15%,97,108,"3,283","1,295","1,818",1.8,18.8%
toddler busy board,蹒跚学步的忙板,0.19%,视频广告词/SP广告词,,前3页无排名,15,"34,381","13,700","1,313",26.2,19.4%
busy book for 1 year old,1岁的忙书,0.10%,视频广告词,,前3页无排名,67,"15,769","6,160",351,44.9,22.9%
busy board for toddlers 3-5,3-5岁幼儿的忙碌板,0.10%,SP广告词,,前3页无排名,81,"13,801","5,247","2,343",5.9,25.4%
baby name puzzle,宝宝名字拼图,0.08%,自然搜索词,100%,164,前3页无排名,"2,069",847,834,2.5,0.0%
montessori busy book,蒙台梭利忙书,0.07%,视频广告词,,前3页无排名,71,"10,161","5,043",687,14.8,2.9%
baby montessori toys 6-12 months,婴儿蒙台梭利玩具 6-12 个月,0.05%,视频广告词,,前3页无排名,53,"7,962","3,548","1,161",6.9,36.7%
busy board montessori toys,忙板蒙台梭利玩具,0.05%,视频广告词/SP广告词,,前3页无排名,126,"6,578","2,758","1,212",5.4,28.6%
busy board for toddlers 1-3,1-3 岁幼儿的忙碌板,0.05%,视频广告词/SP广告词,,前3页无排名,55,"7,001","3,385","1,100",6.4,13.2%
busy boards,忙碌的董事会,0.04%,视频广告词/SP广告词,,前3页无排名,53,"5,669","2,514","4,778",1.2,19.0%
baby busy board 6-12 months,婴儿忙碌板 6-12 个月,0.03%,视频广告词,,前3页无排名,50,"3,375","1,394",219,15.4,0.0%
montessori busy board for toddlers 1-3,1-3 岁幼儿蒙台梭利忙碌板,0.03%,视频广告词/SP广告词,,前3页无排名,99,"3,338","1,528","1,012",3.3,0.0%
busy board book,忙碌的板书,0.02%,视频广告词/SP广告词,,前3页无排名,150,"3,134","1,196",413,7.6,10.5%
busy baby,忙碌的宝贝,0.02%,视频广告词,,前3页无排名,1,"3,221","1,286","4,333",0.7,23.1%
busy board montessori,忙板蒙台梭利,0.02%,SP广告词,,前3页无排名,22,"2,288","1,090","1,266",1.8,27.8%
wall busy board,墙忙板,0.02%,视频广告词/SP广告词,,前3页无排名,23,"2,656","1,266",532,5.0,0.0%
busy board for toddlers,忙碌的幼儿板,0.01%,视频广告词,,前3页无排名,138,"1,542",737,"1,285",1.2,12.5%
hahaland busy board,夏威夷群岛繁忙的板块,0.01%,SP广告词,,前3页无排名,33,"2,156","1,033",118,18.3,66.7%
busy board for wall,墙壁上的忙碌板,0.01%,视频广告词,,前3页无排名,71,"1,929",834,412,4.7,0.0%