Keyword,,流量占比,流量词类型,自然流量占比,自然排名,广告排名,月搜索量,点击量,商品数,需供比,转化总占比
"Light Up Guitar Pick Holder, Acrylic Electric Guitar Headstock Shaped Pick Holder with Wooden Base for Picks Storage and Display, Guitar Accessories Gift for Guitar Players Guitarists",,,,,,,,,,,
流量占比 > 1%,,流量占比 > 0.5 % 且 自然流量占比 > 66.6%,月搜索量 TOP 10,转化率 > 50%,,,,,,,
guitar,吉他,4.90%,自然搜索词,100%,148,前3页无排名,"254,764","101,919","10,289",24.8,18.8%
bass guitar accessories,贝斯吉他配件,1.71%,自然搜索词,100%,52,前3页无排名,"7,591","3,339","12,262",0.6,3.7%
guitar phone holder,吉他手机支架,1.12%,自然搜索词,100%,86,前3页无排名,"13,805","6,639",161,85.8,60.9%
martin guitar,马汀吉他,1.08%,自然搜索词,100%,92,前3页无排名,"13,042","5,288","1,097",11.9,33.3%
jack daniels guitar,杰克丹尼尔斯吉他,0.81%,自然搜索词,100%,15,前3页无排名,848,345,124,6.8,0.0%
wooden guitar pick case,木制吉他弹奏箱,0.76%,自然搜索词,100%,42,前3页无排名,"1,318",629,221,6.0,36.8%
guitar lego,吉他乐高,0.68%,自然搜索词,100%,17,前3页无排名,"2,465","1,062",307,8.0,66.7%
taylor swift guitar picks,泰勒斯威夫特吉他拨片,0.58%,自然搜索词,100%,18,前3页无排名,"1,814",877,159,11.4,40.0%
guitar pick case holder,吉他拨片盒架,0.48%,自然搜索词,100%,33,前3页无排名,"1,288",589,778,1.7,25.0%
guitar pick holder necklace,吉他拨片架项链,0.48%,自然搜索词,100%,59,前3页无排名,"1,441",643,584,2.5,63.6%
guitar pick maker,吉他弹片制作者,0.47%,自然搜索词,100%,12,前3页无排名,"1,496",737,569,2.6,62.5%
guitar quilt,,0.43%,自然搜索词,100%,17,前3页无排名,"1,379",669,428,3.2,20.0%
acoustic guitar case,原声吉他箱,0.36%,自然搜索词,100%,142,前3页无排名,"18,326","7,825",510,35.9,50.7%
dunlop guitar picks,邓禄普吉他拨片,0.35%,自然搜索词,100%,147,前3页无排名,"18,815","8,642",937,20.1,28.4%
cool guitar picks,酷炫的吉他镐,0.28%,自然搜索词,100%,91,前3页无排名,"3,002","1,409","1,606",1.9,36.4%
guitar picks for electric guitar,电吉他的吉他拨片,0.21%,自然搜索词,100%,119,前3页无排名,"6,706","2,642","1,264",5.3,24.8%
music gifts,音乐礼物,0.18%,自然搜索词,100%,138,前3页无排名,"8,258","4,047","40,775",0.2,5.7%
electric guitar picks,电吉他拨片,0.15%,自然搜索词,100%,114,前3页无排名,"4,984","2,377","1,288",3.9,37.3%
guitar mount,吉他支架,0.12%,自然搜索词,100%,158,前3页无排名,"6,201","2,832",723,8.6,47.1%
music room decor,音乐室装饰,0.11%,自然搜索词,100%,106,前3页无排名,"4,119","1,930","8,513",0.5,0.0%
music gift,音乐礼物,0.05%,自然搜索词,100%,147,前3页无排名,"3,159","1,570","48,166",0.1,14.3%
custom guitar picks,定制吉他拨片,2.51%,自然搜索词/SP广告词,99%,60,81,"9,396","4,195",993,9.5,11.8%
guitar accessories gifts for men,男士吉他配件礼品,0.47%,自然搜索词/SP广告词,95%,25,20,"1,600",795,"3,894",0.4,20.0%
guitar picks for acoustic guitar,用于原声吉他的吉他拨片,1.33%,自然搜索词/SP广告词,93%,130,69,"14,140","6,042","2,339",6.1,35.7%
lego fender guitar,乐高挡泥板吉他,0.50%,自然搜索词/SP广告词,93%,53,29,"2,155","1,008",71,30.4,100.0%
wooden acoustic guitar pick box,木吉他拨片盒,1.55%,自然搜索词/视频广告词/SP广告词,92%,51,51,"3,095","1,404",268,11.6,23.8%
guitar holder,吉他架,2.48%,自然搜索词/SP广告词,91%,62,25,"8,541","3,307",813,10.5,21.2%
guitar decor,吉他装饰,0.64%,自然搜索词/视频广告词,91%,35,52,"2,430","1,166","13,023",0.2,0.0%
guitar pick holder on guitar,吉他上的吉他拨片架,0.50%,自然搜索词/视频广告词/SP广告词,88%,49,65,"1,994",968,929,2.2,52.0%
guitar shaped pick holder,吉他形状的拨片架,0.64%,自然搜索词/SP广告词,87%,16,21,821,386,827,1.0,31.3%
guitar pick case,吉他拨片盒,5.48%,自然搜索词/视频广告词/SP广告词,77%,49,17,"13,492","5,658",730,18.5,13.1%
wooden guitar pick holder,木制吉他拨片架,1.73%,自然搜索词/SP广告词,76%,37,21,"2,950","1,221",235,12.6,33.3%
wooden guitar pick box,木制吉他拨片盒,0.60%,自然搜索词/SP广告词,72%,44,29,"1,225",542,362,3.4,33.3%
guitar & bass accessories,吉他和贝斯配件,0.82%,自然搜索词/视频广告词,69%,47,7,"3,280","1,555","14,246",0.2,13.3%
gifts for music lovers,给音乐爱好者的礼物,0.14%,自然搜索词/视频广告词,65%,97,107,"4,561","2,241","10,686",0.4,14.3%
gifts for guitar players men,给吉他手男士的礼物,0.42%,自然搜索词/SP广告词,62%,37,5,"1,281",603,"2,983",0.4,6.3%
guitar pick,吉他镐,8.23%,自然搜索词/视频广告词/SP广告词,59%,123,65,"28,852","12,876","3,652",7.9,36.4%
guitar gifts for men,男士吉他礼物,1.06%,自然搜索词/视频广告词/SP广告词,55%,40,2,"3,484","1,374","16,443",0.2,11.1%
guitar picks holder,吉他拨片架,0.64%,自然搜索词/视频广告词/SP广告词,55%,26,51,"1,835",890,"1,235",1.5,23.5%
pick holder,镐头持有人,1.82%,自然搜索词/SP广告词,48%,37,27,"6,204","2,778","1,193",5.2,37.5%
guitar pick holder,吉他拨片架,13.21%,自然搜索词/视频广告词/SP广告词,46%,46,16,"41,528","19,034","1,292",32.1,20.5%
music lover gifts,音乐爱好者礼物,0.06%,自然搜索词/视频广告词,42%,123,107,"2,804","1,175","23,102",0.1,25.0%
gifts for musicians,给音乐家的礼物,1.46%,自然搜索词/视频广告词/SP广告词,38%,64,20,"5,066","2,372","11,716",0.4,0.0%
guitar pick display case,吉他拨片展示柜,0.47%,自然搜索词/视频广告词/SP广告词,35%,35,7,"1,689",645,525,3.2,33.3%
guitar gifts,吉他礼品,1.85%,自然搜索词/视频广告词/SP广告词,34%,20,51,"5,858","2,508","11,694",0.5,8.5%
guitar accessories,吉他配件,21.04%,自然搜索词/SP广告词,32%,63,93,"78,302","34,665","14,015",5.6,8.5%
guitar stuff,吉他的东西,1.15%,自然搜索词/视频广告词,29%,49,11,"4,601","1,872","4,011",1.2,18.2%
music accessories,音乐配件,0.79%,自然搜索词/视频广告词/SP广告词,29%,32,23,"3,168","1,530","29,336",0.1,0.0%
electric guitar accessories,电吉他配件,2.67%,自然搜索词/视频广告词/SP广告词,27%,56,7,"9,780","4,503",611,16.0,10.0%
guitar pick display,吉他拨片展示,0.72%,自然搜索词/视频广告词/SP广告词,26%,41,63,"2,783","1,250","1,350",2.1,23.8%
gifts for guitar players,送给吉他手的礼物,0.72%,自然搜索词/视频广告词/SP广告词,21%,31,1,"2,297",906,"7,070",0.3,14.3%
puas para guitarra,吉他拨片,0.53%,自然搜索词/SP广告词,20%,129,37,"2,290",933,262,8.7,5.9%
guitar display case,吉他展示柜,0.79%,自然搜索词/视频广告词,19%,58,17,"2,939","1,137","2,055",1.4,55.6%
acoustic guitar accessories,原声吉他配件,2.19%,自然搜索词/视频广告词/SP广告词,10%,140,7,"7,519","3,139","19,853",0.4,15.6%
guitar accessories kit,吉他配件套装,0.66%,自然搜索词/视频广告词/SP广告词,9%,56,1,"2,757","1,134",119,23.2,26.3%
guitar pick box,吉他拨片盒,1.62%,自然搜索词/视频广告词/SP广告词,5%,61,62,"3,449","1,498",803,4.3,12.9%
music gifts for men,男士音乐礼物,2.06%,自然搜索词/视频广告词/SP广告词,4%,61,1,"7,283","3,445","11,899",0.6,11.1%
guitar wall mount,吉他墙架,0.47%,SP广告词,,前3页无排名,14,"136,174","53,240",427,318.9,41.9%
beatles,披头士,0.17%,SP广告词,,前3页无排名,25,"50,368","20,530","52,055",1.0,3.6%
guitar hero,吉他英雄,0.10%,视频广告词,,前3页无排名,60,"28,696","13,393","1,729",16.6,14.8%
men stuff,男人的东西,0.05%,SP广告词,,前3页无排名,132,"13,531","5,809","3,630",3.7,5.6%
lego guitar,乐高吉他,0.04%,SP广告词,,前3页无排名,52,"14,814","7,025",240,61.7,75.0%
guitar pickups,吉他拾音器,0.04%,视频广告词,,前3页无排名,64,"11,776","5,548","5,634",2.1,0.0%
guitar pick necklace,吉他镐项链,0.04%,视频广告词,,前3页无排名,126,"8,979","4,431",621,14.5,30.9%
guitar tools,吉他工具,0.03%,视频广告词,,前3页无排名,65,"8,359","4,090","6,159",1.4,11.3%
ukulele case,尤克里里琴盒,0.03%,视频广告词,,前3页无排名,50,"7,468","3,069",349,21.4,16.7%
music themed gifts,音乐主题礼物,0.01%,视频广告词/SP广告词,,前3页无排名,135,"4,852","2,066","12,466",0.4,9.1%
cool gifts for music lovers,给音乐爱好者的酷礼物,0.01%,视频广告词,,前3页无排名,2,"4,767","2,270","4,911",1.0,10.0%
saxophone accessories,萨克斯风配件,0.01%,视频广告词,,前3页无排名,50,"3,805","1,645","6,373",0.6,11.1%
sheremart strumbox,,0.01%,SP广告词,,前3页无排名,52,"1,469",659,112,13.1,35.5%
fender picks,挡泥板镐,0.01%,视频广告词,,前3页无排名,50,"3,638","1,532",180,20.2,38.1%
cigar box guitar,雪茄盒吉他,0.01%,视频广告词,,前3页无排名,52,"3,351","1,299","1,100",3.1,60.0%
music stuff,音乐的东西,0.01%,视频广告词,,前3页无排名,1,"4,008","1,812","4,964",0.8,0.0%
jazz iii picks,爵士乐三部曲,0.01%,视频广告词,,前3页无排名,60,"2,754","1,053",335,8.2,36.4%
guitar phone holder mount,吉他手机支架,0.01%,SP广告词,,前3页无排名,16,"2,353","1,122",584,4.0,35.0%
ukulele accessories,尤克里里琴配件,0.01%,视频广告词,,前3页无排名,10,"2,281","1,054","7,897",0.3,21.4%
guitar pickup,吉他拾音器,0.01%,视频广告词,,前3页无排名,52,"2,310",938,"5,511",0.4,10.0%
kirk hammett guitar picks,柯克哈米特吉他拨片,0.01%,SP广告词,,前3页无排名,158,"2,572","1,055",122,21.1,46.7%
musical theater gifts,音乐剧礼物,0.01%,视频广告词,,前3页无排名,2,"1,894",775,"3,427",0.6,18.2%
guitar pins,吉他插销,0.01%,视频广告词,,前3页无排名,50,"1,796",789,"1,395",1.3,22.6%
guitar pegs,吉他挂件,0.01%,视频广告词,,前3页无排名,53,"2,059",917,745,2.8,34.2%
acoustic guitar pickguard,原声吉他护板,0.01%,视频广告词,,前3页无排名,53,"1,545",600,319,4.8,40.0%
bass accessories,贝斯配件,0.01%,视频广告词,,前3页无排名,53,"1,440",645,"7,728",0.2,33.3%