Keyword,ASIN,Title,流量词类型,自然流量占比,广告流量占比,自然排名,广告排名,月搜索量,点击量,商品数,近7天广告竞品数,转化总占比
gift for musician,B0D4YJ9875,"Light Up Guitar Pick Holder, Acrylic Electric Guitar Headstock Shaped Pick Holder with Wooden Base for Picks Storage and Display, Guitar Accessories Gift for Guitar Players Guitarists",自然搜索词,100%,,72,前3页无排名,140,55,"7,546",64,25.0%
guitar gift,B0D4YJ9875,——,自然搜索词/视频广告词/SP广告词,48%,52%,8,1,677,302,"15,229",37,11.1%
music gift,B0D4YJ9875,——,自然搜索词,100%,,147,前3页无排名,"3,159","1,570","48,166",26,14.3%
,B0CXDDQS9S,"Custom Gold Charm Necklace Personalized Engravable Charms, Unique Holiday Jewelry Gift for Her -P-CHARM-MIX-N,",,,,,,,,,,
,B0CX518JYQ,"Luma - The Patented Glow-in-The-Dark Toy That Flies a Loop of String, Creates Endless Shapes and Tricks Built-in LED for Glowing Fun. Perfect STEM Gift for Kids & Adults. Wonderment Awaits",,,,,,,,,,
,B0CVXGKNV7,"Montessori Busy Board, Personalized Bear Busy Board, Name Puzzle, Learning Toys for 1 Year Old, Sensory Activity, Wooden Baby Toys, Easter Toys, Unique Birthday Gift BB04 (Pastel Girl)",,,,,,,,,,
,B0CV276VQL,"LEGO Marvel Dancing Groot, Guardians of The Galaxy Toy, Buildable Birthday Gift, Marvel Toy, Super Hero Hand-Operated Interactive Playset, Marvel Gift for Kids, Animated Groot Figure, 76297",,,,,,,,,,
,B0CSCWBLFG,BeeGreen Monogrammed Canvas Tote Bag Personalized Gifts for Wedding Birthday Initial Tote Bag for Women Friends Mothers Sisters Teachers Beach Bag (Letter S),,,,,,,,,,
,B0CRPHNZ8F,"Acrylic Dry Erase Board with Light, 13.7""X10"" 6-Color Neon Glow Memo LED Light-Up Message Note Board with Stand as Night Light for Room/Store/Office/Festival/Gift, Touch Control, 7 Markers",,,,,,,,,,
,B0CQC5BVKL,Solar Lanterns Outdoor Waterproof Mushroom Butterfly Garden Decor Gifts for Women Mon Grandma Metal Hanging Solar Lights Decoration for Outside LED Lanterns for Yard Patio Lawn Pathway Landscape,,,,,,,,,,
,B0CPN5P5RR,"Barbie Signature Doll, 2024 Holiday Blonde Fashion Doll Wearing Gown with Plaid Skirt, Seasonal Collector Gift in Displayable Packaging",,,,,,,,,,
,B0CNX7B1VR,"Karaoke Machine for Kids Adults, Mini Portable Bluetooth Karaoke Speaker with 2 Wireless Microphone and Lights, Birthday Gifts for Girls Ages 4, 5, 6, 7, 8, 9, 10, 12+ Family Home Party",,,,,,,,,,
,B0CNQ3Q7PG,"Carry Case designed for Playstation Portal remote player for PS5 Console holds accessories, Travel and Storage Protection for headset charger and more WHITE/BLACK - Easy Clean Case Gift box Edition",,,,,,,,,,
,B0CHPK193D,"Birthstone Necklace for Mom 1 to 5 Kids Names and Birth Month Stones, Custom Family Jewelry for Women, Personalized Birthday Day, Mother's Day Gift for Wife Girlfriend, Grandma, 18k Gold Plated",,,,,,,,,,
,B0CHJY26H8,"Custom Welcome Doormat with Family Name & 6 Designs, Personalized DoorMat, Housewarming Gift - Door Mat with Anti-Slip Backing, Customize Doormat Outdoor Indoor Entrance",,,,,,,,,,
,B0C9PJH2CT,"Beetles Gel Nail Polish Set,14+3 Colors Beauty Advent Calendar 2024 Box Red Green Pink Gold Silver Glitter Glow In The Dark Nail Polish Glitter Top Coat Spring Gel Polish Gift for Women Grils",,,,,,,,,,
,B0C9M41PQM,"Tabletop Fire Pit - Safer Stainless Steel Small Table Fireplace with Cobblestone for Dinner Parties, Smores Maker - Indoor/Outdoor Portable Mini Table Top Firepit - Housewarming Gift",,,,,,,,,,
,B0C6CF9CDX,"Personalized Baking Kitchen Apron with Two Pockets, Adjustable Neck Strap for Kitchen, and Baking, Bakery Tools, Mother's Father's Day gift",,,,,,,,,,
,B0C5S8VB2K,Hatch Rest Go | Portable Sound Machine for Babies and Kids | Baby Sleep Soother | 10 Soothing Sounds | White Noise | Shush | Travel | Registry Gift | Baby Shower | Clips on Baby Stroller | Putty,,,,,,,,,,
,B0C55PGK98,"8x21 Compact Binoculars for Bird Watching, Mini Small Binoculars for Adults Teens, Full Optical Binoculars for Opera Hiking Hunting Travel Concert Gift(White)",,,,,,,,,,
,B0BZSCS613,"Bedsure Heated Blanket Electric Throw - Soft Ribbed Flannel Electric Blanket, Heating Blanket with 4 Time Settings, 6 Heat Settings & 3 hrs Timer Auto Shut Off, Gift for Grandma (50x60 inches, Grey)",,,,,,,,,,
,B0BK8GV9WV,"Nacome Solar Garden Outdoor Statues Gnome with Succulent and 7 LED Lights - Lawn Decor Statue for Patio, Balcony, Yard Ornament - Unique Housewarming Gifts",,,,,,,,,,
,B0BHTS3PGB,"Bride To Be Gifts, Engagement Gift for Women - 'Bride to Be' Soy Candle, w/Champagne On Ice I Engagement Gifts for Couples I Bridal Shower Gifts I Engaged Gifts for Her I 50Hr Burn, USA Made",,,,,,,,,,
,B0BHP4RM3K,"IbayNawi Custom Neon Signs, Neon Sign Customizable for Wall Decor, Personalized Neon Sign for Wedding Birthday Party Gift",,,,,,,,,,
,B0BCH164R4,Custom Metal Signs | Metal Name Sign | Split Letter Monogram | Last Name Sign | Family Name Sign | Personalized Wedding Gift | Outdoor Metal Art | Metal Art | Housewarming Gift |,,,,,,,,,,
,B0B88BDC6F,Hidepoo Unicorn Gifts for Girls - 14K Gold/White Gold/Rose Gold Plated Colorful CZ Heart Unicorn Necklaces for Girls Jewelry Initial Unicorn Necklace Birthday Gifts Unicorn Gifts for Girls Teen Girls,,,,,,,,,,
,B0B62YJRK3,"Custom Birthstone Necklace for Women, Family Jewelry Gift for Moms, Kids, and Grandmas -BSN-MC",,,,,,,,,,
,B0B35ZPXXW,"BAISITE Paint by Numbers Kit for Adults Beginners,12"" Wx16 L 2 Pack Canvas Pictures Drawing Paintwork with 8 Pcs Wooden Paintbrushes,Acrylic Pigment in Gift Box-1112",,,,,,,,,,
,B09ZNY8VNQ,"Electric Drum Set, 7-Pad Kids Electronic Drum Set with Headphone Included, Roll-up Drum Practice Pad, Great Holiday Xmas Birthday Gift for Kids",,,,,,,,,,
,B09VFQVNBH,"Large Aluminium Wind Chimes 37"" Inches to Create a Zen Atmosphere Suitable for Outdoor, Garden, Patio Decoration. Classic Black Wind Chimes with Wind Catcher Suitable as A Gift for Unisex",,,,,,,,,,
,B09QHV8Q7H,"Sympathy Wind Chimes with Hummingbird Wind Spinner, Memorial Wind Chimes for Loss of Loved One Prime, Bereavement/Sympathy/Memorial Gift for Loss of Mother Father Husband Condolence Remembrance",,,,,,,,,,
,B09QG82QCF,REGIS Steel Tongue Drum 8 Notes 6 Inches Chakra Tank Drum Steel Percussion Padded Travel Bag and Mallets，Musical Education Entertainment Meditation Yoga Zen Gifts (malachite),,,,,,,,,,
,B09Q4GWMZQ,"Lego Icons Succulents 10309 Artificial Plants Set for Adults, Home Decor, Birthday, Creative Housewarming Gifts, Botanical Collection, Flower Bouquet Kit",,,,,,,,,,
,B09FKQ936M,"Custom Birth Moon Phase Necklace Jewelry with Gift Box; Special Day Gift; Glowing Moon Phase Necklace; Perfect Gift for Birthday, Anniversary, Special Date Necklace",,,,,,,,,,
,B09F2J4SX1,"Makeup Mirror Vanity Mirror with Lights, 2X 3X 10X Magnification, Lighted Makeup Mirror, Touch Control, Trifold Makeup Mirror, Dual Power Supply, Portable LED Makeup Mirror, Women Gift (White)",,,,,,,,,,
,B09B2GRLN4,"Wind Chimes for Outside, 30"" Wooden Sympathy Wind Chimes Memorial Wind Chime for Loss of Loved One Mother Father, Sympathy Gift Home Decor Outdoor Garden Patio",,,,,,,,,,
,B098WQTV3Y,"ALLCELE Girls Robot Toy, Rechargeable RC Robot for Kids, Remote Control Toy with Music and LED Eyes, Gift for Children Age 3 Years and Up - Pink",,,,,,,,,,
,B098KBRLH5,"SHASHIBO Shape Shifting Box - Award-Winning, Patented Fidget Cube w/ 36 Rare Earth Magnets - Transforms Into Over 70 Shapes, Gift Box, Download Fun in Motion Toys Mobile App (Chaos, 2 pack)",,,,,,,,,,
,B097BSKN9P,JODSONE Gel Nail Polish Kit with U V Light 32 Colors Gel Polish Nail Kit Soak Off Gel Nail Set Manicure Tools Nail Gel Kit Gifts for Women,,,,,,,,,,
,B091ZFL4X5,"Nacome Solar Garden Outdoor Statues Turtle with Succulent and 7 LED Lights - Lawn Decor Tortoise Statue for Patio, Balcony, Yard Ornament - Unique Housewarming Gifts",,,,,,,,,,
,B08X44GGBQ,"Phomemo Sticker Printer -M02 Print Pods Mini Printer Thermal Bluetooth Sticker Maker with 3 Rolls Paper, for DIY Creation, Study Notes, Memo, Receipts, List, Work Plan, Gift, Cyan",,,,,,,,,,
,B08FMM86JN,"16X52 Monocular Telescope High Powered for Adults, 2023 Power Prism Compact Monoculars for Adults Kids,HD Monocular Scope for Gifts, Outdoor Activity,Bird Watching,Hiking,Concert,Travelling",,,,,,,,,,
,B08FDPW8KR,"Ortizan Portable Bluetooth Speaker: IPX7 Waterproof, 24W Loud Sound, Deep Bass, Bluetooth 5.3, LED Lights, Wireless Stereo Pairing, 30H Playtime, for Home/Outdoor/Party/Beach, Birthday Gift (Black)",,,,,,,,,,
,B084Y3DLFJ,"Crayola Color Wonder Magic Light Brush, Mess Free Painting, Toddler Activity, Preschool Toy, Gift for Toddlers, Ages 3+",,,,,,,,,,
,B083C4TBT5,"Smokehouse by Thoughtfully Ultimate Grilling Spice Set, Grill Seasoning Gift Set Flavors Include Chili Garlic, Rosemary and Herb, Lime Chipotle, Cajun Seasoning and More, Pack of 20",,,,,,,,,,
,B081QWJSYP,"PURA D'OR Organic Sweet16 Essential Oils Set - 16x 10mL Wood Box Aromatherapy Gift Set - 100% Pure Therapeutic Grade for Relaxation and Wellness (Lavender, Rosemary, Turmeric, Ylang Ylang & More)",,,,,,,,,,
,B081CHLF46,"Wake Up Light Sunrise Alarm Clock for Kids, Heavy Sleepers, Bedroom, with Sunrise Simulation, Sleep Aid, Dual Alarms, FM Radio, Snooze, Nightlight, Daylight, 7 Colors, 7 Natural Sounds, Ideal for Gift",,,,,,,,,,
,B07YWCVKFH,"FIREOR Dog Squeak Toys, No Stuffing Plush Dogs Chew Toy for Small Medium Large Breed Chewer Squeaky Pet Supplies Tough Durable Puppy Teething Chewing Interactive to Keep Them Busy Best Birthday Gift",,,,,,,,,,
,B07Q33K1G4,"Nut Cravings Gourmet Collection - Easter Mixed Nuts & Candies Gift Basket with Happy Easter Ribbon (7 Piece Assortment) Candy Filled Egg + Bunny Stuffer, Healthy Kosher Snack Box",,,,,,,,,,
,B07C5CV85P,"Personalized Initial and Date Necklace, Custom Family Jewelry, Gift for Mom, Birthdays, and Holidays -LCN-ID",,,,,,,,,,
,B073C95WTN,"Chia Pet Bob Ross with Seed Pack, Decorative Pottery Planter, Easy to Do and Fun to Grow, Novelty Gift, Perfect for Any Occasion",,,,,,,,,,
,B071SGMQ7V,"BONAOK Wireless Bluetooth Karaoke Microphone, 3-in-1 Portable Handheld Mic Speaker for All Smartphones,Gifts for Girls Kids Adults All Age Q37(Rose Gold)",,,,,,,,,,
,B018D3WW6A,My Bookmark Handmade Bookmark Gift for Book Lovers and Bookworms Unique Bookmarks for Women Book Marks for Reading Crafted with Love Special Anniversary Mother's Gift (Wicked Witch),,,,,,,,,,
,B0153PUYX4,"Tea Forte Presentation Box, Tea Sampler Gift Set, Assorted Variety Handcrafted Pyramid Infuser Bags (Asst Tea Tasting), 20 Count (Pack of 1)",,,,,,,,,,
,B014E2D6BY,"grace & stella Under Eye Mask (Gold, 24 Pairs) Reduce Dark Circles, Puffy Eyes, Undereye Bags, Wrinkles - Gel Under Eye Patches - Gifts for Women - Birthday Gifts for Women - Vegan Cruelty Free",,,,,,,,,,